AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Significantly ,Moderately ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Significantly ,Facebook ,Always ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Slightly 
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Always ,Often ,Always ,Often ,Often ,Significantly ,TikTok ,Always ,Slightly 
Below 18,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Always ,Often ,Always ,Often ,Often ,Significantly ,TikTok ,Always ,Slightly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Always ,Significantly 
18–24,Male ,Less than 1 hour ,Often ,Not at all ,Rarely ,Rarely ,Slightly ,Slightly ,Always ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Slightly ,YouTube ,Sometimes ,Moderately 
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Other ,More than 3 hours ,Sometimes ,Moderately ,Rarely ,Rarely ,Not at all ,Slightly ,Often ,Rarely ,Rarely ,Sometimes ,Always ,Often ,Significantly ,Instagram ,Often ,Significantly 
25–34,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Slightly ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Moderately ,Facebook ,Rarely ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Moderately ,Sometimes ,Often ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
25–34,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes ,Always ,Moderately ,Moderately ,Always ,Always ,Often ,Often ,Often ,Sometimes ,Not at all ,Facebook ,Often ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,TikTok ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Significantly ,Always ,Sometimes ,Often ,Often ,Often ,Sometimes ,Slightly ,Instagram ,Often ,Moderately 
18–24,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Rarely ,Moderately ,Slightly ,Sometimes ,Often ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Moderately ,Sometimes ,Often ,Often ,Always ,Often ,Often ,Significantly ,YouTube ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Slightly 
25–34,Male ,Less than 1 hour ,Rarely ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Always ,Often ,Often ,Always ,Rarely ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Sometimes ,Often ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Significantly 
18–24,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Sometimes ,Slightly ,Facebook ,Rarely ,Slightly 
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Sometimes ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Often ,Significantly ,TikTok ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Always ,Significantly ,Instagram ,Always ,Significantly 
25–34,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Others ,Always ,Moderately 
25–34,Female ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Often ,Sometimes ,Always ,Significantly ,YouTube ,Often ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,TikTok ,Sometimes ,Slightly 
25–34,Other ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,Facebook ,Always ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Often ,Often ,Always ,Always ,Always ,Moderately ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Always ,Moderately ,Always ,Always ,Slightly ,Significantly ,Often ,Often ,Often ,Always ,Always ,Rarely ,Significantly ,Facebook ,Often ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Significantly ,Significantly ,Always ,Rarely ,Sometimes ,Rarely ,Rarely ,Rarely ,Significantly ,Facebook ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Rarely ,Rarely ,Moderately ,Facebook ,Sometimes ,Slightly 
18–24,Male ,Less than 1 hour ,Often ,Not at all ,Rarely ,Rarely ,Slightly ,Slightly ,Always ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Slightly ,YouTube ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Moderately ,Sometimes ,Often ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Slightly ,Significantly ,Always ,Often ,Often ,Always ,Often ,Often ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Always ,Significantly ,Often ,Often ,Moderately ,Significantly ,Often ,Always ,Often ,Often ,Always ,Often ,Moderately ,Snapchat ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Rarely ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Slightly ,Facebook ,Sometimes ,Slightly 
Below 18,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,Instagram ,Sometimes ,Not at all 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Snapchat ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Moderately ,YouTube ,Often ,Moderately 
25–34,Male ,More than 3 hours ,Always ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Often ,Often ,Always ,Significantly ,LinkedIn ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Moderately ,Sometimes ,Often ,Slightly ,Significantly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Male ,Less than 1 hour ,Rarely ,Slightly ,Sometimes ,Sometimes ,Not at all ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Slightly ,Instagram ,Rarely ,Not at all 
25–34,Female ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Not at all ,Twitter ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Significantly ,Facebook ,Sometimes ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Significantly ,Moderately ,Often ,Often ,Often ,Often ,Always ,Often ,Moderately ,Instagram ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Moderately ,YouTube ,Often ,Moderately 
Below 18,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Slightly ,Others ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Not at all ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely ,Rarely ,Sometimes ,Significantly ,Facebook ,Rarely ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Sometimes ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Moderately 
18–24,Female ,1–3 hours ,Rarely ,Moderately ,Sometimes ,Sometimes ,Slightly ,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,TikTok ,Sometimes ,Slightly 
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often ,Rarely ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Rarely ,Significantly 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Q15. How often do you try to limit social media usage during study sessions?,Sometimes ,Slightly ,LinkedIn ,Rarely ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Not at all ,Often ,Sometimes ,Rarely ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Always ,Significantly 
25–34,Male ,More than 3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Often ,Sometimes ,Often ,Sometimes ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Slightly ,Often ,Often ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Often ,Often ,Always ,Always ,Always ,Moderately ,Facebook ,Always ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Often ,Moderately ,Significantly ,Always ,Always ,Always ,Often ,Always ,Often ,Moderately ,TikTok ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Often ,Often ,Often ,Always ,Always ,Always ,Moderately ,Facebook ,Always ,Significantly 
18–24,Male ,Less than 1 hour ,Rarely ,Moderately ,Rarely ,Sometimes ,Slightly ,Slightly ,Often ,Rarely ,Sometimes ,Rarely ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Often ,Always ,Always ,Sometimes ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,TikTok ,Sometimes ,Slightly 
18–24,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,YouTube ,Rarely ,Not at all 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Slightly ,Moderately ,Always ,Often ,Often ,Often ,Often ,Rarely ,Moderately ,Facebook ,Rarely ,Moderately 
18–24,Female ,1–3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Always ,Significantly 
25–34,Female ,1–3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Often ,Sometimes ,Sometimes ,Often ,Rarely ,Sometimes ,Moderately ,Others ,Always ,Significantly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Slightly ,Moderately ,Sometimes ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Slightly ,Snapchat ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often ,Rarely ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Rarely ,Significantly 
25–34,Male ,1–3 hours ,Often ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Often ,Always ,Always ,Sometimes ,Significantly ,Instagram ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Significantly ,Moderately ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Sometimes ,Significantly ,Facebook ,Rarely ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Often ,Often ,Always ,Significantly ,Facebook ,Often ,Significantly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often ,Rarely ,Slightly ,Moderately ,Often ,Often ,Rarely ,Always ,Always ,Always ,Not at all ,YouTube ,Always ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Rarely ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,Twitter ,Often ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Moderately ,Moderately ,Always ,Always ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,TikTok ,Often ,Moderately 
Below 18,Male ,Less than 1 hour ,Sometimes ,Not at all ,Rarely ,Rarely ,Not at all ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Not at all ,Twitter ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,TikTok ,Often ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Moderately ,Moderately ,Always ,Always ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,TikTok ,Often ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Not at all ,YouTube ,Rarely ,Slightly 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Often ,Sometimes ,Always ,Significantly ,YouTube ,Often ,Significantly 
Below 18,Other ,More than 3 hours ,Always ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
25–34,Male ,More than 3 hours ,Often ,Significantly ,Often ,Always ,Moderately ,Significantly ,Always ,Often ,Often ,Often ,Often ,Often ,Moderately ,Others ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Always ,Often ,Often ,Always ,Often ,Always ,Significantly ,TikTok ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Not at all ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,Instagram ,Sometimes ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Female ,More than 3 hours ,Always ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Often ,Always ,Always ,Significantly ,TikTok ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Slightly ,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,LinkedIn ,Often ,Moderately 
18–24,Male ,1–3 hours ,Often ,Moderately ,Always ,Always ,Moderately ,Significantly ,Often ,Always ,Always ,Always ,Often ,Often ,Significantly ,LinkedIn ,Often ,Moderately 
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often ,Rarely ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Rarely ,Significantly 
